METRIC,AG2018
Vf,0.530392
Sf,0.692015
EG,-0.131231
PR,-0.161623
GAMMA,-0.023526
BS_50,-0.018571
BV_50,-0.002887
BS_V,-0.003379
GS,-0.003372
MM,-0.015399
LO,0.040423
DECL,4.695699
R,6.317962
r,5.543873
Sb,0.692015
Ra,0.846008
Rb,0.346008
Va,0.509425
Vb,0.450152
L_Vf,0.510000
L_Sf,0.579887
U_Vf,0.555000
U_Sf,0.823609
