CD,composite,P2020,P2016,S2018,S2016,G2018,AG2018
1,0.623951,0.642547,0.621714,0.636226,0.693042,0.561636,0.568991
2,0.540579,0.558550,0.517878,0.571989,0.625061,0.476914,0.476463
3,0.592618,0.599897,0.572299,0.613923,0.685421,0.524890,0.545791
4,0.616852,0.658214,0.627420,0.635254,0.632571,0.550276,0.579604
5,0.533555,0.554533,0.521978,0.555762,0.594204,0.472042,0.487115
