Vf,G2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000001
0.295,0.000001
0.300,0.000002
0.305,0.000004
0.310,0.000007
0.315,0.000013
0.320,0.000023
0.325,0.000039
0.330,0.000066
0.335,0.000111
0.340,0.000182
0.345,0.000293
0.350,0.000464
0.355,0.000724
0.360,0.001110
0.365,0.001674
0.370,0.002485
0.375,0.003628
0.380,0.005214
0.385,0.007375
0.390,0.010269
0.395,0.014078
0.400,0.019006
0.405,0.025274
0.410,0.033112
0.415,0.042752
0.420,0.054412
0.425,0.068286
0.430,0.084531
0.435,0.103250
0.440,0.124489
0.445,0.148221
0.450,0.174350
0.455,0.202707
0.460,0.233058
0.465,0.265119
0.470,0.298563
0.475,0.333041
0.480,0.368201
0.485,0.403699
0.490,0.439218
0.495,0.474476
0.500,0.509234
0.505,0.543295
0.510,0.576509
0.515,0.608759
0.520,0.641072
0.525,0.673405
0.530,0.705187
0.535,0.736170
0.540,0.766088
0.545,0.794674
0.550,0.821671
0.555,0.846848
0.560,0.870013
0.565,0.891028
0.570,0.909811
0.575,0.926343
0.580,0.940665
0.585,0.952872
0.590,0.963106
0.595,0.971542
0.600,0.978378
0.605,0.983823
0.610,0.988084
0.615,0.991360
0.620,0.993835
0.625,0.995672
0.630,0.997011
0.635,0.997970
0.640,0.998644
0.645,0.999109
0.650,0.999424
0.655,0.999634
0.660,0.999772
0.665,0.999860
0.670,0.999916
0.675,0.999950
0.680,0.999971
0.685,0.999983
0.690,0.999991
0.695,0.999995
0.700,0.999997
0.705,0.999998
0.710,0.999999
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
