METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.580828,0.601960,0.571412,0.602037,0.646034,0.516503,0.530392,0.578056,0.019893,0.034414,0.002772,0.004795,0.139345
Sf,0.926209,0.967101,0.868792,0.975901,0.997879,0.618251,0.692015,0.853323,0.065926,0.077258,0.072886,0.085414,1.105573
EG,-0.264553,-0.263181,-0.225968,-0.271827,-0.205811,-0.085245,-0.131231,-0.197210,0.030392,-0.154110,-0.067343,0.341479,-2.215813
PR,-0.345381,-0.365141,-0.297380,-0.373864,-0.351845,-0.101748,-0.161623,-0.275267,0.047320,-0.171906,-0.070114,0.254713,-1.481699
GAMMA,-0.197763,-0.306185,-0.078376,-0.353066,-0.476710,-0.011598,-0.023526,-0.208243,0.080062,-0.384464,0.010480,-0.050326,0.130899
BS_50,-0.010410,-0.001580,-0.004490,-0.009610,0.001376,-0.009234,-0.018571,-0.007018,0.002896,-0.412653,-0.003392,0.483329,-1.171271
BV_50,-0.001414,-0.000227,-0.000725,-0.001195,0.000178,-0.001328,-0.002887,-0.001031,0.000438,-0.424830,-0.000383,0.371484,-0.874429
BS_V,0.013478,0.007424,0.017658,0.006245,0.000819,-0.005750,-0.003379,0.003836,0.003477,0.906413,0.009642,2.513556,2.773080
GS,-0.004161,-0.003519,-0.004451,-0.003475,0.003343,-0.001377,-0.003372,-0.002142,0.001172,-0.547152,-0.002019,0.942577,-1.722696
MM,-0.011790,0.002063,-0.000887,-0.011886,0.013463,-0.008387,-0.015399,-0.003506,0.004326,-1.233885,-0.008284,2.362807,-1.914933
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.023319,0.040423,0.010624,0.007073,0.665757,-0.010624,-1.000000,-1.502050
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,2.971525,4.695699,1.277871,0.838289,0.656004,-1.277871,-1.000000,-1.524380
R,5.273033,4.581213,5.164279,4.664007,3.409336,7.165441,6.317962,5.217040,0.547388,0.104923,0.055993,0.010733,0.102291
r,2.826320,1.578222,4.066759,1.203826,0.144956,6.462668,5.543873,3.166717,1.046128,0.330351,-0.340397,-0.107492,-0.325388
Sb,0.926209,0.967101,0.868792,0.975901,0.997879,0.618251,0.692015,0.853323,0.065926,0.077258,0.072886,0.085414,1.105573
Ra,0.963104,0.983550,0.934396,0.987951,0.998939,0.809126,0.846008,0.926662,0.032963,0.035572,0.036442,0.039326,1.105543
Rb,0.463104,0.483550,0.434396,0.487951,0.498939,0.309126,0.346008,0.426662,0.032963,0.077258,0.036442,0.085412,1.105543
Va,0.500000,0.500000,0.500000,0.500000,0.500000,0.511562,0.509425,0.503498,0.002229,0.004427,-0.003498,-0.006947,-1.569314
Vb,0.415085,0.395734,0.420294,0.396369,0.353839,0.465119,0.450152,0.413585,0.016556,0.040030,0.001500,0.003627,0.090602
L_Vf,0.560000,0.580000,0.550000,0.580000,0.625000,0.495000,0.510000,0.556667,0.019819,0.035603,0.003333,0.005987,0.168172
L_Sf,0.858199,0.921413,0.779087,0.939015,0.992468,0.474476,0.579887,0.781058,0.086373,0.110585,0.077141,0.098765,0.893115
U_Vf,0.605000,0.625000,0.595000,0.625000,0.670000,0.540000,0.555000,0.601667,0.019819,0.032940,0.003333,0.005540,0.168172
U_Sf,0.977123,0.991770,0.948861,0.994165,0.999740,0.766088,0.823609,0.920705,0.041158,0.044703,0.056418,0.061277,1.370766
