METRIC,P2020
Vf,0.601960
Sf,0.967101
EG,-0.263181
PR,-0.365141
GAMMA,-0.306185
BS_50,-0.001580
BV_50,-0.000227
BS_V,0.007424
GS,-0.003519
MM,0.002063
LO,0.000000
DECL,0.000000
R,4.581213
r,1.578222
Sb,0.967101
Ra,0.983550
Rb,0.483550
Va,0.500000
Vb,0.395734
L_Vf,0.580000
L_Sf,0.921413
U_Vf,0.625000
U_Sf,0.991770
