METRIC,composite
Vf,0.580828
Sf,0.926209
EG,-0.264553
PR,-0.345381
GAMMA,-0.197763
BS_50,-0.010410
BV_50,-0.001414
BS_V,0.013478
GS,-0.004161
MM,-0.011790
LO,0.000000
DECL,0.000000
R,5.273033
r,2.826320
Sb,0.926209
Ra,0.963104
Rb,0.463104
Va,0.500000
Vb,0.415085
L_Vf,0.560000
L_Sf,0.858199
U_Vf,0.605000
U_Sf,0.977123
