METRIC,G2018
Vf,0.516503
Sf,0.618251
EG,-0.085245
PR,-0.101748
GAMMA,-0.011598
BS_50,-0.009234
BV_50,-0.001328
BS_V,-0.005750
GS,-0.001377
MM,-0.008387
LO,0.023319
DECL,2.971525
R,7.165441
r,6.462668
Sb,0.618251
Ra,0.809126
Rb,0.309126
Va,0.511562
Vb,0.465119
L_Vf,0.495000
L_Sf,0.474476
U_Vf,0.540000
U_Sf,0.766088
