CD,composite,CD,P2020,CD,P2016,CD,S2018,CD,S2016,CD,G2018,CD,AG2018
1,0.623951,1,0.642547,1,0.621714,1,0.636226,1,0.693042,1,0.561636,1,0.568991
2,0.540579,2,0.558550,2,0.517878,2,0.571989,2,0.625061,2,0.476914,2,0.476463
3,0.592618,3,0.599897,3,0.572299,3,0.613923,3,0.685421,3,0.524890,3,0.545791
4,0.616852,4,0.658214,4,0.627420,4,0.635254,4,0.632571,4,0.550276,4,0.579604
5,0.533555,5,0.554533,5,0.521978,5,0.555762,5,0.594204,5,0.472042,5,0.487115
