Vf,composite,P2020,P2016,S2020,S2018,G2018,AG2018
0.250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.305,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
0.310,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001
0.315,0.000002,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002
0.320,0.000004,0.000005,0.000004,0.000004,0.000004,0.000004,0.000004
0.325,0.000007,0.000009,0.000007,0.000007,0.000007,0.000008,0.000007
0.330,0.000013,0.000016,0.000013,0.000013,0.000013,0.000014,0.000013
0.335,0.000022,0.000028,0.000022,0.000022,0.000022,0.000024,0.000023
0.340,0.000037,0.000047,0.000037,0.000038,0.000038,0.000041,0.000038
0.345,0.000062,0.000078,0.000062,0.000063,0.000064,0.000068,0.000064
0.350,0.000103,0.000127,0.000102,0.000104,0.000105,0.000112,0.000106
0.355,0.000167,0.000205,0.000166,0.000169,0.000171,0.000181,0.000171
0.360,0.000267,0.000326,0.000266,0.000270,0.000274,0.000289,0.000274
0.365,0.000421,0.000510,0.000420,0.000426,0.000431,0.000454,0.000431
0.370,0.000655,0.000785,0.000653,0.000662,0.000669,0.000703,0.000669
0.375,0.001003,0.001192,0.000999,0.001013,0.001023,0.001073,0.001023
0.380,0.001513,0.001782,0.001508,0.001528,0.001542,0.001613,0.001540
0.385,0.002249,0.002626,0.002242,0.002271,0.002291,0.002391,0.002286
0.390,0.003296,0.003813,0.003286,0.003326,0.003354,0.003492,0.003345
0.395,0.004760,0.005456,0.004747,0.004802,0.004838,0.005026,0.004823
0.400,0.006776,0.007696,0.006759,0.006834,0.006881,0.007132,0.006854
0.405,0.009510,0.010700,0.009490,0.009588,0.009648,0.009977,0.009604
0.410,0.013160,0.014668,0.013136,0.013264,0.013337,0.013760,0.013267
0.415,0.017956,0.019829,0.017931,0.018093,0.018180,0.018715,0.018072
0.420,0.024161,0.026436,0.024139,0.024341,0.024439,0.025104,0.024278
0.425,0.032066,0.034767,0.032054,0.032298,0.032405,0.033215,0.032170
0.430,0.041981,0.045110,0.041989,0.042279,0.042387,0.043356,0.042051
0.435,0.054227,0.057759,0.054270,0.054606,0.054702,0.055842,0.054234
0.440,0.069121,0.072994,0.069220,0.069597,0.069667,0.070981,0.069027
0.445,0.086957,0.091071,0.087141,0.087551,0.087573,0.089061,0.086716
0.450,0.107994,0.112204,0.108298,0.108727,0.108673,0.110326,0.107548
0.455,0.132429,0.136544,0.132897,0.133327,0.133163,0.134965,0.131714
0.460,0.160383,0.164173,0.161066,0.161472,0.161160,0.163087,0.159328
0.465,0.191882,0.195081,0.192838,0.193189,0.192685,0.194707,0.190410
0.470,0.226843,0.229163,0.228134,0.228397,0.227653,0.229735,0.224879
0.475,0.265068,0.266215,0.266760,0.266895,0.265867,0.267969,0.262542
0.480,0.306243,0.305932,0.308398,0.308366,0.307009,0.309091,0.303093
0.485,0.349939,0.347917,0.352614,0.352378,0.350652,0.352677,0.346119
