Vf,P2016
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000000
0.295,0.000000
0.300,0.000000
0.305,0.000001
0.310,0.000001
0.315,0.000002
0.320,0.000004
0.325,0.000007
0.330,0.000013
0.335,0.000022
0.340,0.000037
0.345,0.000062
0.350,0.000102
0.355,0.000166
0.360,0.000266
0.365,0.000420
0.370,0.000653
0.375,0.000999
0.380,0.001508
0.385,0.002242
0.390,0.003286
0.395,0.004747
0.400,0.006759
0.405,0.009490
0.410,0.013136
0.415,0.017931
0.420,0.024139
0.425,0.032054
0.430,0.041989
0.435,0.054270
0.440,0.069220
0.445,0.087141
0.450,0.108298
0.455,0.132897
0.460,0.161066
0.465,0.192838
0.470,0.228134
0.475,0.266760
0.480,0.308398
0.485,0.352614
0.490,0.398872
0.495,0.446550
0.500,0.494966
0.505,0.543408
0.510,0.591167
0.515,0.637563
0.520,0.681980
0.525,0.723882
0.530,0.762842
0.535,0.798541
0.540,0.830781
0.545,0.859481
0.550,0.884894
0.555,0.906962
0.560,0.925758
0.565,0.941524
0.570,0.954548
0.575,0.965142
0.580,0.973628
0.585,0.980320
0.590,0.985517
0.595,0.989490
0.600,0.992481
0.605,0.994696
0.610,0.996313
0.615,0.997474
0.620,0.998294
0.625,0.998865
0.630,0.999256
0.635,0.999519
0.640,0.999694
0.645,0.999808
0.650,0.999882
0.655,0.999928
0.660,0.999957
0.665,0.999975
0.670,0.999985
0.675,0.999992
0.680,0.999995
0.685,0.999997
0.690,0.999999
0.695,0.999999
0.700,1.000000
0.705,1.000000
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
