METRIC,composite
Vf,0.560908
Sf,0.922394
EG,-0.300578
PR,-0.361486
GAMMA,-0.221498
BS_50,0.009481
BV_50,0.000991
BS_V,0.005666
GS,0.002547
MM,-0.005780
LO,0.000000
DECL,0.000000
R,6.934945
r,3.298339
Sb,0.922394
Ra,0.961197
Rb,0.461197
Va,0.500000
Vb,0.439662
L_Vf,0.540000
L_Sf,0.823712
U_Vf,0.585000
U_Sf,0.977516
