METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2018,METRIC,G2018,METRIC,AG2018
Vf,0.560908,Vf,0.555185,Vf,0.546508,Vf,0.531356,Vf,0.639184,Vf,0.571991,Vf,0.648955
Sf,0.922394,Sf,0.885473,Sf,0.867442,Sf,0.770363,Sf,0.999394,Sf,0.953811,Sf,0.999645
EG,-0.300578,EG,-0.275103,EG,-0.274426,EG,-0.207651,EG,-0.221026,EG,-0.309829,EG,-0.201735
PR,-0.361486,PR,-0.330288,PR,-0.320934,PR,-0.239007,PR,-0.360210,PR,-0.381820,PR,-0.350690
GAMMA,-0.221498,GAMMA,-0.151796,GAMMA,-0.131062,GAMMA,-0.045155,GAMMA,-0.491532,GAMMA,-0.290752,GAMMA,-0.494627
BS_50,0.009481,BS_50,0.017587,BS_50,0.005034,BS_50,0.006060,BS_50,0.009017,BS_50,0.007347,BS_50,0.015380
BV_50,0.000991,BV_50,0.001922,BV_50,0.000520,BV_50,0.000629,BV_50,0.000944,BV_50,0.000772,BV_50,0.001629
BS_V,0.005666,BS_V,0.012070,BS_V,0.003688,BS_V,0.005516,BS_V,0.000156,BS_V,0.003526,BS_V,0.000119
GS,0.002547,GS,0.004724,GS,0.001244,GS,0.001480,GS,0.002561,GS,0.002062,GS,0.004167
MM,-0.005780,MM,0.000389,MM,0.001056,MM,-0.001328,MM,-0.003890,MM,0.000133,MM,-0.004632
LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000,LO,0.000000
DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000
R,6.934945,R,6.985105,R,7.900623,R,8.622378,R,3.588010,R,6.303725,R,3.354333
r,3.298339,r,4.234423,r,5.082574,r,7.182316,r,0.056484,r,2.264998,r,0.033687
Sb,0.922394,Sb,0.885473,Sb,0.867442,Sb,0.770363,Sb,0.999394,Sb,0.953811,Sb,0.999645
Ra,0.961197,Ra,0.942736,Ra,0.933721,Ra,0.885182,Ra,0.999697,Ra,0.976906,Ra,0.999822
Rb,0.461197,Rb,0.442736,Rb,0.433721,Rb,0.385182,Rb,0.499697,Rb,0.476906,Rb,0.499822
Va,0.500000,Va,0.500000,Va,0.500000,Va,0.500000,Va,0.500000,Va,0.500000,Va,0.500000
Vb,0.439662,Vb,0.445372,Vb,0.453467,Vb,0.468207,Vb,0.362106,Vb,0.428479,Vb,0.353300
L_Vf,0.540000,L_Vf,0.535000,L_Vf,0.525000,L_Vf,0.510000,L_Vf,0.615000,L_Vf,0.550000,L_Vf,0.625000
L_Sf,0.823712,L_Sf,0.773753,L_Sf,0.723882,L_Sf,0.589562,L_Sf,0.996286,L_Sf,0.878413,L_Sf,0.997753
U_Vf,0.585000,U_Vf,0.580000,U_Vf,0.570000,U_Vf,0.555000,U_Vf,0.660000,U_Vf,0.595000,U_Vf,0.670000
U_Sf,0.977516,U_Sf,0.963258,U_Sf,0.954548,U_Sf,0.905803,U_Sf,0.999914,U_Sf,0.987559,U_Sf,0.999955
