METRIC,S2018
Vf,0.639184
Sf,0.999394
EG,-0.221026
PR,-0.360210
GAMMA,-0.491532
BS_50,0.009017
BV_50,0.000944
BS_V,0.000156
GS,0.002561
MM,-0.003890
LO,0.000000
DECL,0.000000
R,3.588010
r,0.056484
Sb,0.999394
Ra,0.999697
Rb,0.499697
Va,0.500000
Vb,0.362106
L_Vf,0.615000
L_Sf,0.996286
U_Vf,0.660000
U_Sf,0.999914
