CD,composite,P2020,P2016,S2020,S2018,G2018,AG2018
2,0.542276,0.530047,0.534021,0.516609,0.618097,0.554187,0.623842
1,0.566688,0.574116,0.545452,0.532684,0.643074,0.571858,0.662649
3,0.570119,0.554796,0.558372,0.542680,0.652483,0.587238,0.653587
