Vf,AG2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000000
0.295,0.000000
0.300,0.000000
0.305,0.000001
0.310,0.000001
0.315,0.000002
0.320,0.000004
0.325,0.000007
0.330,0.000013
0.335,0.000023
0.340,0.000038
0.345,0.000064
0.350,0.000106
0.355,0.000171
0.360,0.000274
0.365,0.000431
0.370,0.000669
0.375,0.001023
0.380,0.001540
0.385,0.002286
0.390,0.003345
0.395,0.004823
0.400,0.006854
0.405,0.009604
0.410,0.013267
0.415,0.018072
0.420,0.024278
0.425,0.032170
0.430,0.042051
0.435,0.054234
0.440,0.069027
0.445,0.086716
0.450,0.107548
0.455,0.131714
0.460,0.159328
0.465,0.190410
0.470,0.224879
0.475,0.262542
0.480,0.303093
0.485,0.346119
0.490,0.391113
0.495,0.437492
0.500,0.484620
0.505,0.531836
0.510,0.578478
0.515,0.623919
0.520,0.667581
0.525,0.708966
0.530,0.747666
0.535,0.783372
0.540,0.815882
0.545,0.845096
0.550,0.871008
0.555,0.893696
0.560,0.913309
0.565,0.930048
0.570,0.944156
0.575,0.955897
0.580,0.965547
0.585,0.973380
0.590,0.979658
0.595,0.984629
0.600,0.988516
0.605,0.991517
0.610,0.993806
0.615,0.995530
0.620,0.996811
0.625,0.997753
0.630,0.998435
0.635,0.998923
0.640,0.999268
0.645,0.999509
0.650,0.999677
0.655,0.999798
0.660,0.999875
0.665,0.999924
0.670,0.999955
0.675,0.999974
0.680,0.999985
0.685,0.999991
0.690,0.999995
0.695,0.999997
0.700,0.999999
0.705,0.999999
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
