METRIC,P2020
Vf,0.555185
Sf,0.885473
EG,-0.275103
PR,-0.330288
GAMMA,-0.151796
BS_50,0.017587
BV_50,0.001922
BS_V,0.012070
GS,0.004724
MM,0.000389
LO,0.000000
DECL,0.000000
R,6.985105
r,4.234423
Sb,0.885473
Ra,0.942736
Rb,0.442736
Va,0.500000
Vb,0.445372
L_Vf,0.535000
L_Sf,0.773753
U_Vf,0.580000
U_Sf,0.963258
