Vf,S2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000000
0.295,0.000000
0.300,0.000000
0.305,0.000001
0.310,0.000001
0.315,0.000002
0.320,0.000004
0.325,0.000007
0.330,0.000013
0.335,0.000022
0.340,0.000038
0.345,0.000064
0.350,0.000105
0.355,0.000171
0.360,0.000274
0.365,0.000431
0.370,0.000669
0.375,0.001023
0.380,0.001542
0.385,0.002291
0.390,0.003354
0.395,0.004838
0.400,0.006881
0.405,0.009648
0.410,0.013337
0.415,0.018180
0.420,0.024439
0.425,0.032405
0.430,0.042387
0.435,0.054702
0.440,0.069667
0.445,0.087573
0.450,0.108673
0.455,0.133163
0.460,0.161160
0.465,0.192685
0.470,0.227653
0.475,0.265867
0.480,0.307009
0.485,0.350652
0.490,0.396274
0.495,0.443270
0.500,0.490983
0.505,0.538727
0.510,0.585823
0.515,0.631621
0.520,0.675529
0.525,0.717038
0.530,0.755734
0.535,0.791311
0.540,0.823572
0.545,0.852430
0.550,0.877894
0.555,0.900062
0.560,0.919104
0.565,0.935244
0.570,0.948743
0.575,0.959885
0.580,0.968962
0.585,0.976260
0.590,0.982051
0.595,0.986588
0.600,0.990095
0.605,0.992771
0.610,0.994787
0.615,0.996286
0.620,0.997385
0.625,0.998182
0.630,0.998751
0.635,0.999153
0.640,0.999435
0.645,0.999638
0.650,0.999772
0.655,0.999858
0.660,0.999914
0.665,0.999948
0.670,0.999969
0.675,0.999982
0.680,0.999990
0.685,0.999994
0.690,0.999997
0.695,0.999998
0.700,0.999999
0.705,1.000000
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
