METRIC,G2018
Vf,0.571991
Sf,0.953811
EG,-0.309829
PR,-0.381820
GAMMA,-0.290752
BS_50,0.007347
BV_50,0.000772
BS_V,0.003526
GS,0.002062
MM,0.000133
LO,0.000000
DECL,0.000000
R,6.303725
r,2.264998
Sb,0.953811
Ra,0.976906
Rb,0.476906
Va,0.500000
Vb,0.428479
L_Vf,0.550000
L_Sf,0.878413
U_Vf,0.595000
U_Sf,0.987559
