Vf,G2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000000
0.295,0.000000
0.300,0.000000
0.305,0.000001
0.310,0.000001
0.315,0.000002
0.320,0.000004
0.325,0.000008
0.330,0.000014
0.335,0.000024
0.340,0.000041
0.345,0.000068
0.350,0.000112
0.355,0.000181
0.360,0.000289
0.365,0.000454
0.370,0.000703
0.375,0.001073
0.380,0.001613
0.385,0.002391
0.390,0.003492
0.395,0.005026
0.400,0.007132
0.405,0.009977
0.410,0.013760
0.415,0.018715
0.420,0.025104
0.425,0.033215
0.430,0.043356
0.435,0.055842
0.440,0.070981
0.445,0.089061
0.450,0.110326
0.455,0.134965
0.460,0.163087
0.465,0.194707
0.470,0.229735
0.475,0.267969
0.480,0.309091
0.485,0.352677
0.490,0.398206
0.495,0.445082
0.500,0.492653
0.505,0.540243
0.510,0.587180
0.515,0.632822
0.520,0.676584
0.525,0.717962
0.530,0.756543
0.535,0.792024
0.540,0.824207
0.545,0.853000
0.550,0.878413
0.555,0.900539
0.560,0.919546
0.565,0.935653
0.570,0.949121
0.575,0.960446
0.580,0.969759
0.585,0.977193
0.590,0.983037
0.595,0.987559
0.600,0.991004
0.605,0.993588
0.610,0.995496
0.615,0.996882
0.620,0.997873
0.625,0.998571
0.630,0.999054
0.635,0.999383
0.640,0.999604
0.645,0.999749
0.650,0.999844
0.655,0.999904
0.660,0.999942
0.665,0.999966
0.670,0.999980
0.675,0.999988
0.680,0.999993
0.685,0.999996
0.690,0.999998
0.695,0.999999
0.700,0.999999
0.705,1.000000
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
