METRIC,AG2018
Vf,0.486957
Sf,0.353614
EG,0.120300
PR,0.133343
GAMMA,0.137384
BS_50,0.136535
BV_50,0.061550
BS_V,0.134574
GS,0.063531
MM,0.077913
LO,0.069871
DECL,26.517462
R,11.223367
r,0.690186
Sb,0.353614
Ra,0.676807
Rb,0.176807
Va,0.636334
Vb,0.293795
L_Vf,0.465000
L_Sf,0.336028
U_Vf,0.510000
U_Sf,0.373478
