CD,S2020
1,0.426604
2,0.543039
3,0.338592
4,0.781978
5,0.816296
6,0.401317
7,0.620493
8,0.351103
9,0.298028
10,0.372307
11,0.408111
12,0.438394
13,0.805507
14,0.307091
