CD,composite,P2020,P2016,S2020,S2016,G2018,AG2018
9,0.280900,0.308105,0.264903,0.298028,0.240303,0.282077,0.285497
14,0.293001,0.310471,0.276820,0.307091,0.263962,0.296235,0.301655
3,0.326359,0.347564,0.316868,0.338592,0.287300,0.328678,0.333222
8,0.341536,0.360428,0.343019,0.351103,0.311150,0.342709,0.343510
10,0.360619,0.381374,0.351036,0.372307,0.319751,0.365455,0.365484
6,0.377509,0.425020,0.360472,0.401317,0.290546,0.387950,0.376460
11,0.389590,0.422269,0.370732,0.408111,0.324771,0.401514,0.395877
1,0.416515,0.432171,0.414911,0.426604,0.373798,0.424513,0.422210
12,0.429291,0.448665,0.432368,0.438394,0.391704,0.431844,0.430581
2,0.541556,0.552346,0.546356,0.543039,0.505567,0.550831,0.547818
7,0.594526,0.630710,0.572708,0.620493,0.511339,0.611304,0.598797
4,0.770078,0.791732,0.769236,0.781978,0.704903,0.788685,0.772394
13,0.791887,0.804792,0.778993,0.805507,0.738799,0.811353,0.801266
5,0.814937,0.836625,0.835233,0.816296,0.735373,0.841834,0.812324
