METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018
Vf,0.480261,0.501283,0.473388,0.490894,0.428246,0.492988,0.486957
Sf,0.350199,0.364788,0.350381,0.355086,0.297939,0.355647,0.353614
EG,0.110323,0.137778,0.096395,0.126702,0.058553,0.130329,0.120300
PR,0.130062,0.136495,0.123007,0.135808,0.130307,0.137341,0.133343
GAMMA,0.135927,0.136626,0.128538,0.136859,0.093022,0.139603,0.137384
BS_50,0.134042,0.136445,0.127796,0.136276,0.123039,0.139238,0.136535
BV_50,0.058466,0.057012,0.057982,0.057227,0.050256,0.064265,0.061550
BS_V,0.129084,0.136340,0.119175,0.135110,0.051314,0.138687,0.134574
GS,0.063050,0.059906,0.063277,0.061898,0.064997,0.065278,0.063531
MM,0.077208,0.072688,0.080566,0.073537,0.078962,0.079975,0.077913
LO,0.064285,0.097445,0.052654,0.085105,-0.006784,0.083323,0.069871
DECL,26.088628,29.377359,24.374003,28.577505,21.850997,28.078365,26.517462
R,7.589097,-105.387680,5.622230,15.914129,2.816029,20.586603,11.223367
r,0.702893,1.101716,0.792160,0.884624,1.519623,0.677439,0.690186
Sb,0.350199,0.364788,0.350381,0.355086,0.297939,0.355647,0.353614
Ra,0.675099,0.682394,0.675191,0.677543,0.648969,0.677823,0.676807
Rb,0.175099,0.182394,0.175191,0.177543,0.148969,0.177823,0.176807
Va,0.639917,0.617641,0.649100,0.626729,0.671878,0.636047,0.636334
Vb,0.295798,0.284914,0.298246,0.288166,0.334906,0.280630,0.293795
L_Vf,0.460000,0.480000,0.450000,0.470000,0.405000,0.470000,0.465000
L_Sf,0.332770,0.345284,0.326413,0.337154,0.259548,0.338613,0.336028
U_Vf,0.505000,0.525000,0.495000,0.515000,0.450000,0.515000,0.510000
U_Sf,0.371181,0.401749,0.367283,0.383224,0.323129,0.375546,0.373478
