METRIC,composite
Vf,0.480261
Sf,0.350199
EG,0.110323
PR,0.130062
GAMMA,0.135927
BS_50,0.134042
BV_50,0.058466
BS_V,0.129084
GS,0.063050
MM,0.077208
LO,0.064285
DECL,26.088628
R,7.589097
r,0.702893
Sb,0.350199
Ra,0.675099
Rb,0.175099
Va,0.639917
Vb,0.295798
L_Vf,0.460000
L_Sf,0.332770
U_Vf,0.505000
U_Sf,0.371181
