Vf,G2018
0.250,0.003816
0.255,0.006163
0.260,0.009588
0.265,0.014387
0.270,0.020837
0.275,0.029159
0.280,0.039471
0.285,0.051750
0.290,0.065803
0.295,0.081271
0.300,0.097652
0.305,0.114356
0.310,0.130762
0.315,0.146300
0.320,0.160500
0.325,0.173044
0.330,0.183780
0.335,0.192719
0.340,0.200009
0.345,0.205898
0.350,0.210692
0.355,0.214719
0.360,0.218293
0.365,0.221695
0.370,0.225158
0.375,0.228862
0.380,0.232930
0.385,0.237440
0.390,0.242422
0.395,0.247867
0.400,0.253739
0.405,0.259974
0.410,0.266495
0.415,0.273212
0.420,0.280035
0.425,0.286873
0.430,0.293642
0.435,0.300266
0.440,0.306680
0.445,0.312831
0.450,0.318677
0.455,0.324188
0.460,0.329348
0.465,0.334153
0.470,0.338613
0.475,0.342750
0.480,0.346600
0.485,0.350213
0.490,0.353649
0.495,0.357036
0.500,0.360762
0.505,0.364990
0.510,0.369867
0.515,0.375546
0.520,0.382182
0.525,0.389923
0.530,0.398904
0.535,0.409241
0.540,0.421029
0.545,0.434330
0.550,0.449177
0.555,0.465571
0.560,0.483480
0.565,0.502845
0.570,0.523579
0.575,0.545576
0.580,0.568710
0.585,0.592846
0.590,0.617833
0.595,0.643516
0.600,0.669723
0.605,0.696274
0.610,0.722969
0.615,0.749589
0.620,0.775892
0.625,0.801619
0.630,0.826491
0.635,0.850226
0.640,0.872546
0.645,0.893201
0.650,0.911978
0.655,0.928725
0.660,0.943357
0.665,0.955866
0.670,0.966318
0.675,0.974845
0.680,0.981630
0.685,0.986892
0.690,0.990868
0.695,0.993792
0.700,0.995885
0.705,0.997341
0.710,0.998326
0.715,0.998974
0.720,0.999388
0.725,0.999645
0.730,0.999799
0.735,0.999890
0.740,0.999941
0.745,0.999969
0.750,0.999985
