METRIC,S2020
Vf,0.490894
Sf,0.355086
EG,0.126702
PR,0.135808
GAMMA,0.136859
BS_50,0.136276
BV_50,0.057227
BS_V,0.135110
GS,0.061898
MM,0.073537
LO,0.085105
DECL,28.577505
R,15.914129
r,0.884624
Sb,0.355086
Ra,0.677543
Rb,0.177543
Va,0.626729
Vb,0.288166
L_Vf,0.470000
L_Sf,0.337154
U_Vf,0.515000
U_Sf,0.383224
