METRIC,P2016
Vf,0.473388
Sf,0.350381
EG,0.096395
PR,0.123007
GAMMA,0.128538
BS_50,0.127796
BV_50,0.057982
BS_V,0.119175
GS,0.063277
MM,0.080566
LO,0.052654
DECL,24.374003
R,5.622230
r,0.792160
Sb,0.350381
Ra,0.675191
Rb,0.175191
Va,0.649100
Vb,0.298246
L_Vf,0.450000
L_Sf,0.326413
U_Vf,0.495000
U_Sf,0.367283
