CD,P2016
1,0.414911
2,0.546356
3,0.316868
4,0.769236
5,0.835233
6,0.360472
7,0.572708
8,0.343019
9,0.264903
10,0.351036
11,0.370732
12,0.432368
13,0.778993
14,0.276820
