CD,P2020
1,0.432171
2,0.552346
3,0.347564
4,0.791732
5,0.836625
6,0.425020
7,0.630710
8,0.360428
9,0.308105
10,0.381374
11,0.422269
12,0.448665
13,0.804792
14,0.310471
