CD,G2018
1,0.424513
2,0.550831
3,0.328678
4,0.788685
5,0.841834
6,0.387950
7,0.611304
8,0.342709
9,0.282077
10,0.365455
11,0.401514
12,0.431844
13,0.811353
14,0.296235
