METRIC,G2018
Vf,0.492988
Sf,0.355647
EG,0.130329
PR,0.137341
GAMMA,0.139603
BS_50,0.139238
BV_50,0.064265
BS_V,0.138687
GS,0.065278
MM,0.079975
LO,0.083323
DECL,28.078365
R,20.586603
r,0.677439
Sb,0.355647
Ra,0.677823
Rb,0.177823
Va,0.636047
Vb,0.280630
L_Vf,0.470000
L_Sf,0.338613
U_Vf,0.515000
U_Sf,0.375546
