CD,S2016
1,0.373798
2,0.505567
3,0.287300
4,0.704903
5,0.735373
6,0.290546
7,0.511339
8,0.311150
9,0.240303
10,0.319751
11,0.324771
12,0.391704
13,0.738799
14,0.263962
