Vf,composite,Vf,P2020,Vf,P2016,Vf,S2020,Vf,S2016,Vf,G2018,Vf,AG2018
0.250,0.003555,0.250,0.002171,0.250,0.006667,0.250,0.002532,0.250,0.006783,0.250,0.003816,0.250,0.002660
0.255,0.005784,0.255,0.003621,0.255,0.010261,0.255,0.004215,0.255,0.010654,0.255,0.006163,0.255,0.004409
0.260,0.009068,0.260,0.005824,0.260,0.015221,0.260,0.006762,0.260,0.016101,0.260,0.009588,0.260,0.007043
0.265,0.013706,0.265,0.009039,0.265,0.021792,0.265,0.010460,0.265,0.023433,0.265,0.014387,0.265,0.010849
0.270,0.019992,0.270,0.013546,0.270,0.030154,0.270,0.015614,0.270,0.032877,0.270,0.020837,0.270,0.016126
0.275,0.028164,0.275,0.019621,0.275,0.040388,0.275,0.022508,0.275,0.044520,0.275,0.029159,0.275,0.023148
0.280,0.038365,0.280,0.027492,0.280,0.052442,0.280,0.031361,0.280,0.058262,0.280,0.039471,0.280,0.032119
0.285,0.050590,0.285,0.037299,0.285,0.066123,0.285,0.042276,0.285,0.073793,0.285,0.051750,0.285,0.043127
0.290,0.064663,0.290,0.049055,0.290,0.081099,0.290,0.055200,0.290,0.090611,0.290,0.065803,0.290,0.056099
0.295,0.080228,0.295,0.062617,0.295,0.096920,0.295,0.069900,0.295,0.108063,0.295,0.081271,0.295,0.070787
0.300,0.096778,0.300,0.077680,0.300,0.113063,0.300,0.085967,0.300,0.125428,0.300,0.097652,0.300,0.086773
0.305,0.113700,0.305,0.093794,0.305,0.128978,0.305,0.102848,0.305,0.142003,0.305,0.114356,0.305,0.103503
0.310,0.130349,0.310,0.110405,0.310,0.144144,0.310,0.119906,0.310,0.157188,0.310,0.130762,0.310,0.120346
0.315,0.146122,0.315,0.126919,0.315,0.158117,0.315,0.136497,0.315,0.170555,0.315,0.146300,0.315,0.136669
0.320,0.160526,0.320,0.142762,0.320,0.170568,0.320,0.152045,0.320,0.181870,0.320,0.160500,0.320,0.151911
0.325,0.173223,0.325,0.157452,0.325,0.181307,0.325,0.166107,0.325,0.191103,0.325,0.173044,0.325,0.165641
0.330,0.184053,0.330,0.170642,0.330,0.190284,0.330,0.178415,0.330,0.198387,0.330,0.183780,0.330,0.177594
0.335,0.193029,0.335,0.182146,0.335,0.197582,0.335,0.188886,0.335,0.203981,0.335,0.192719,0.335,0.187685
