METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.480261,0.501283,0.473388,0.490894,0.428246,0.492988,0.486957,0.478959,0.010808,0.022566,0.001302,0.002718,0.120466
Sf,0.350199,0.364788,0.350381,0.355086,0.297939,0.355647,0.353614,0.346243,0.009858,0.028471,0.003956,0.011426,0.401298
EG,0.110323,0.137778,0.096395,0.126702,0.058553,0.130329,0.120300,0.111676,0.012090,0.108260,-0.001353,-0.012115,-0.111911
PR,0.130062,0.136495,0.123007,0.135808,0.130307,0.137341,0.133343,0.132717,0.002204,0.016607,-0.002655,-0.020005,-1.204628
GAMMA,0.135927,0.136626,0.128538,0.136859,0.093022,0.139603,0.137384,0.128672,0.007295,0.056695,0.007255,0.056384,0.994517
BS_50,0.134042,0.136445,0.127796,0.136276,0.123039,0.139238,0.136535,0.133221,0.002582,0.019381,0.000821,0.006163,0.317971
BV_50,0.058466,0.057012,0.057982,0.057227,0.050256,0.064265,0.061550,0.058049,0.001944,0.033489,0.000417,0.007184,0.214506
BS_V,0.129084,0.136340,0.119175,0.135110,0.051314,0.138687,0.134574,0.119200,0.013870,0.116359,0.009884,0.082919,0.712617
GS,0.063050,0.059906,0.063277,0.061898,0.064997,0.065278,0.063531,0.063148,0.000820,0.012985,-0.000098,-0.001552,-0.119512
MM,0.077208,0.072688,0.080566,0.073537,0.078962,0.079975,0.077913,0.077273,0.001371,0.017742,-0.000065,-0.000841,-0.047411
LO,0.064285,0.097445,0.052654,0.085105,-0.006784,0.083323,0.069871,0.063602,0.015395,0.242052,0.000683,0.010739,0.044365
DECL,26.088628,29.377359,24.374003,28.577505,21.850997,28.078365,26.517462,26.462615,1.172056,0.044291,-0.373987,-0.014133,-0.319086
R,7.589097,-105.387680,5.622230,15.914129,2.816029,20.586603,11.223367,-8.204220,19.617406,-2.391136,15.793317,-1.925024,0.805067
r,0.702893,1.101716,0.792160,0.884624,1.519623,0.677439,0.690186,0.944291,0.131437,0.139191,-0.241398,-0.255639,-1.836606
Sb,0.350199,0.364788,0.350381,0.355086,0.297939,0.355647,0.353614,0.346243,0.009858,0.028471,0.003956,0.011426,0.401298
Ra,0.675099,0.682394,0.675191,0.677543,0.648969,0.677823,0.676807,0.673121,0.004929,0.007323,0.001978,0.002939,0.401298
Rb,0.175099,0.182394,0.175191,0.177543,0.148969,0.177823,0.176807,0.173121,0.004929,0.028471,0.001978,0.011426,0.401298
Va,0.639917,0.617641,0.649100,0.626729,0.671878,0.636047,0.636334,0.639621,0.007753,0.012121,0.000296,0.000463,0.038179
Vb,0.295798,0.284914,0.298246,0.288166,0.334906,0.280630,0.293795,0.296776,0.008043,0.027101,-0.000978,-0.003295,-0.121596
L_Vf,0.460000,0.480000,0.450000,0.470000,0.405000,0.470000,0.465000,0.456667,0.011081,0.024265,0.003333,0.007299,0.300785
L_Sf,0.332770,0.345284,0.326413,0.337154,0.259548,0.338613,0.336028,0.323840,0.013095,0.040437,0.008930,0.027575,0.681940
U_Vf,0.505000,0.525000,0.495000,0.515000,0.450000,0.515000,0.510000,0.501667,0.011081,0.022088,0.003333,0.006644,0.300785
U_Sf,0.371181,0.401749,0.367283,0.383224,0.323129,0.375546,0.373478,0.370735,0.010688,0.028829,0.000446,0.001203,0.041729
