METRIC,S2018
Vf,0.681528
Sf,0.880644
EG,-0.017588
PR,-0.199116
GAMMA,-0.138404
BS_50,0.027700
BV_50,0.010104
BS_V,0.055702
GS,0.024934
MM,0.028368
LO,0.000000
DECL,0.000000
R,2.096887
r,1.334448
Sb,0.880644
Ra,0.940322
Rb,0.440322
Va,0.541710
Vb,0.277527
L_Vf,0.660000
L_Sf,0.863559
U_Vf,0.705000
U_Sf,0.925405
