METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.621452,Vf,0.670291,Vf,0.640162,Vf,0.681528,Vf,0.630553,Vf,0.440085,Vf,0.648601
Sf,0.790447,Sf,0.865298,Sf,0.807710,Sf,0.880644,Sf,0.803191,Sf,0.379713,Sf,0.843858
EG,-0.047543,EG,-0.024716,EG,-0.027386,EG,-0.017588,EG,-0.042085,EG,0.000457,EG,-0.046656
PR,-0.168995,PR,-0.195007,PR,-0.167548,PR,-0.199116,PR,-0.172638,PR,0.060372,PR,-0.195257
GAMMA,0.038707,GAMMA,-0.164649,GAMMA,0.023365,GAMMA,-0.138404,GAMMA,0.070739,GAMMA,0.062461,GAMMA,-0.144422
BS_50,0.038985,BS_50,0.004623,BS_50,0.056280,BS_50,0.027700,BS_50,0.056775,BS_50,0.043031,BS_50,0.026349
BV_50,0.016961,BV_50,0.001617,BV_50,0.023622,BV_50,0.010104,BV_50,0.026250,BV_50,0.020917,BV_50,0.011037
BS_V,0.018080,BS_V,0.060070,BS_V,0.036722,BS_V,0.055702,BS_V,0.021648,BS_V,-0.008047,BS_V,0.042300
GS,0.019693,GS,0.024438,GS,0.028368,GS,0.024934,GS,0.025289,GS,0.039394,GS,0.021046
MM,0.031451,MM,0.012394,MM,0.040278,MM,0.028368,MM,0.045466,MM,0.039131,MM,0.025411
LO,0.120340,LO,0.157776,LO,0.127822,LO,0.000000,LO,0.128721,LO,-0.024917,LO,0.138407
DECL,-6.271418,DECL,-15.448045,DECL,-10.853549,DECL,0.000000,DECL,-6.609706,DECL,7.904333,DECL,-13.203639
R,2.391452,R,2.145140,R,2.195388,R,2.096887,R,2.322358,R,2.007631,R,2.313970
r,2.710155,r,1.178271,r,2.362086,r,1.334448,r,2.864195,r,0.965133,r,1.342094
Sb,0.790447,Sb,0.865298,Sb,0.807710,Sb,0.880644,Sb,0.803191,Sb,0.379713,Sb,0.843858
Ra,0.895223,Ra,0.932649,Ra,0.903855,Ra,0.940322,Ra,0.901595,Ra,0.689856,Ra,0.921929
Rb,0.395223,Rb,0.432649,Rb,0.403855,Rb,0.440322,Rb,0.401595,Rb,0.189856,Rb,0.421929
Va,0.563497,Va,0.561291,Va,0.573321,Va,0.541710,Va,0.561337,Va,0.655719,Va,0.562460
Vb,0.316164,Vb,0.280933,Vb,0.298856,Vb,0.277527,Vb,0.309942,Vb,0.369198,Vb,0.299134
L_Vf,0.600000,L_Vf,0.650000,L_Vf,0.620000,L_Vf,0.660000,L_Vf,0.610000,L_Vf,0.420000,L_Vf,0.625000
L_Sf,0.739454,L_Sf,0.849607,L_Sf,0.771316,L_Sf,0.863559,L_Sf,0.752727,L_Sf,0.352564,L_Sf,0.809807
U_Vf,0.645000,U_Vf,0.695000,U_Vf,0.665000,U_Vf,0.705000,U_Vf,0.655000,U_Vf,0.465000,U_Vf,0.670000
U_Sf,0.847319,U_Sf,0.899969,U_Sf,0.856279,U_Sf,0.925405,U_Sf,0.858905,U_Sf,0.406217,U_Sf,0.876823
