Vf,composite,Vf,P2020,Vf,P2016,Vf,S2018,Vf,S2016,Vf,G2018,Vf,AG2018
0.250,0.000027,0.250,0.000004,0.250,0.000031,0.250,0.000004,0.250,0.000041,0.250,0.002394,0.250,0.000016
0.255,0.000052,0.255,0.000008,0.255,0.000060,0.255,0.000009,0.255,0.000078,0.255,0.003908,0.255,0.000031
0.260,0.000098,0.260,0.000017,0.260,0.000113,0.260,0.000018,0.260,0.000145,0.260,0.006144,0.260,0.000060
0.265,0.000179,0.265,0.000032,0.265,0.000207,0.265,0.000034,0.265,0.000262,0.265,0.009306,0.265,0.000111
0.270,0.000318,0.270,0.000060,0.270,0.000366,0.270,0.000063,0.270,0.000460,0.270,0.013592,0.270,0.000201
0.275,0.000548,0.275,0.000109,0.275,0.000628,0.275,0.000115,0.275,0.000782,0.275,0.019163,0.275,0.000352
0.280,0.000919,0.280,0.000192,0.280,0.001048,0.280,0.000203,0.280,0.001292,0.280,0.026111,0.280,0.000598
0.285,0.001496,0.285,0.000332,0.285,0.001698,0.285,0.000350,0.285,0.002073,0.285,0.034430,0.285,0.000990
0.290,0.002368,0.290,0.000559,0.290,0.002675,0.290,0.000587,0.290,0.003231,0.290,0.044005,0.290,0.001594
0.295,0.003645,0.295,0.000916,0.295,0.004098,0.295,0.000961,0.295,0.004896,0.295,0.054618,0.295,0.002496
0.300,0.005458,0.300,0.001464,0.300,0.006108,0.300,0.001533,0.300,0.007216,0.300,0.065974,0.300,0.003804
0.305,0.007958,0.305,0.002282,0.305,0.008864,0.305,0.002385,0.305,0.010349,0.305,0.077748,0.305,0.005646
0.310,0.011301,0.310,0.003470,0.310,0.012531,0.310,0.003619,0.310,0.014457,0.310,0.089638,0.310,0.008164
0.315,0.015646,0.315,0.005150,0.315,0.017273,0.315,0.005361,0.315,0.019685,0.315,0.101412,0.315,0.011510
0.320,0.021134,0.320,0.007466,0.320,0.023236,0.320,0.007753,0.320,0.026152,0.320,0.112945,0.320,0.015831
0.325,0.027880,0.325,0.010575,0.325,0.030534,0.325,0.010954,0.325,0.033936,0.325,0.124228,0.325,0.021261
0.330,0.035957,0.330,0.014644,0.330,0.039239,0.330,0.015131,0.330,0.043066,0.330,0.135359,0.330,0.027906
0.335,0.045390,0.335,0.019840,0.335,0.049376,0.335,0.020445,0.335,0.053518,0.335,0.146503,0.335,0.035834
0.340,0.056156,0.340,0.026319,0.340,0.060918,0.340,0.027045,0.340,0.065220,0.340,0.157853,0.340,0.045068
0.345,0.068185,0.345,0.034210,0.345,0.073793,0.345,0.035051,0.345,0.078066,0.345,0.169587,0.345,0.055588
0.350,0.081374,0.350,0.043610,0.350,0.087895,0.350,0.044545,0.350,0.091927,0.350,0.181828,0.350,0.067330
0.355,0.095595,0.355,0.054571,0.355,0.103091,0.355,0.055564,0.355,0.106668,0.355,0.194625,0.355,0.080198
0.360,0.110713,0.360,0.067096,0.360,0.119238,0.360,0.068093,0.360,0.122159,0.360,0.207945,0.360,0.094081
0.365,0.126594,0.365,0.081136,0.365,0.136185,0.365,0.082064,0.365,0.138283,0.365,0.221684,0.365,0.108856
0.370,0.143109,0.370,0.096594,0.370,0.153776,0.370,0.097365,0.370,0.154932,0.370,0.235683,0.370,0.124406
0.375,0.160135,0.375,0.113326,0.375,0.171850,0.375,0.113838,0.375,0.172000,0.375,0.249748,0.375,0.140618
0.380,0.177548,0.380,0.131152,0.380,0.190232,0.380,0.131295,0.380,0.189374,0.380,0.263673,0.380,0.157387
0.385,0.195214,0.385,0.149861,0.385,0.208730,0.385,0.149523,0.385,0.206918,0.385,0.277262,0.385,0.174606
0.390,0.212981,0.390,0.169218,0.390,0.227127,0.390,0.168293,0.390,0.224471,0.390,0.290338,0.390,0.192161
0.395,0.230677,0.395,0.188974,0.395,0.245191,0.395,0.187366,0.395,0.241840,0.395,0.302755,0.395,0.209917
0.400,0.248110,0.400,0.208874,0.400,0.262675,0.400,0.206505,0.400,0.258809,0.400,0.314405,0.400,0.227722
0.405,0.265077,0.405,0.228663,0.405,0.279338,0.405,0.225477,0.405,0.275155,0.405,0.325220,0.405,0.245400
0.410,0.281376,0.410,0.248100,0.410,0.294961,0.410,0.244061,0.410,0.290661,0.410,0.335172,0.410,0.262759
0.415,0.296824,0.415,0.266963,0.415,0.309365,0.415,0.262057,0.415,0.305141,0.415,0.344271,0.415,0.279610
0.420,0.311275,0.420,0.285067,0.420,0.322429,0.420,0.279293,0.420,0.318455,0.420,0.352564,0.420,0.295775
0.425,0.324634,0.425,0.302269,0.425,0.334099,0.425,0.295637,0.425,0.330525,0.425,0.360131,0.425,0.311108
0.430,0.336865,0.430,0.318482,0.430,0.344397,0.430,0.311001,0.430,0.341338,0.430,0.367076,0.430,0.325509
0.435,0.347995,0.435,0.333677,0.435,0.353411,0.435,0.325347,0.435,0.350950,0.435,0.373525,0.435,0.338933
0.440,0.358112,0.440,0.347884,0.440,0.361292,0.440,0.338694,0.440,0.359474,0.440,0.379612,0.440,0.351395
0.445,0.367352,0.445,0.361192,0.445,0.368235,0.445,0.351110,0.445,0.367074,0.445,0.384437,0.445,0.362965
0.450,0.375891,0.450,0.373738,0.450,0.374470,0.450,0.362713,0.450,0.373945,0.450,0.389466,0.450,0.373761
0.455,0.383923,0.455,0.385694,0.455,0.380236,0.455,0.373659,0.455,0.380299,0.455,0.394756,0.455,0.383938
0.460,0.391652,0.460,0.397253,0.460,0.385776,0.460,0.384130,0.460,0.386351,0.460,0.400334,0.460,0.393669
