METRIC,G2018
Vf,0.440085
Sf,0.379713
EG,0.000457
PR,0.060372
GAMMA,0.062461
BS_50,0.043031
BV_50,0.020917
BS_V,-0.008047
GS,0.039394
MM,0.039131
LO,-0.024917
DECL,7.904333
R,2.007631
r,0.965133
Sb,0.379713
Ra,0.689856
Rb,0.189856
Va,0.655719
Vb,0.369198
L_Vf,0.420000
L_Sf,0.352564
U_Vf,0.465000
U_Sf,0.406217
