METRIC,composite
Vf,0.621452
Sf,0.790447
EG,-0.047543
PR,-0.168995
GAMMA,0.038707
BS_50,0.038985
BV_50,0.016961
BS_V,0.018080
GS,0.019693
MM,0.031451
LO,0.120340
DECL,-6.271418
R,2.391452
r,2.710155
Sb,0.790447
Ra,0.895223
Rb,0.395223
Va,0.563497
Vb,0.316164
L_Vf,0.600000
L_Sf,0.739454
U_Vf,0.645000
U_Sf,0.847319
