CD,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
1,0.380370,0.425832,0.377641,0.450693,0.385111,0.222291,0.410212,0.378630,0.033118,0.087468,0.001740,0.004596,0.052539
6,0.504799,0.550153,0.506414,0.561945,0.519877,0.342829,0.532065,0.502214,0.032909,0.065528,0.002585,0.005147,0.078550
2,0.543633,0.606242,0.559206,0.616139,0.542481,0.350504,0.573362,0.541322,0.039821,0.073563,0.002311,0.004269,0.058035
3,0.554366,0.630288,0.573587,0.622302,0.546647,0.350295,0.585001,0.551353,0.042165,0.076476,0.003013,0.005465,0.071457
5,0.625636,0.685506,0.626182,0.684018,0.623527,0.451404,0.661378,0.622003,0.035848,0.057633,0.003633,0.005841,0.101345
8,0.765325,0.817981,0.804903,0.816449,0.783244,0.558243,0.791424,0.762041,0.041139,0.053985,0.003284,0.004309,0.079827
7,0.789697,0.822545,0.815733,0.847308,0.807109,0.614874,0.807167,0.785789,0.034716,0.044180,0.003908,0.004973,0.112571
4,0.892229,0.911872,0.923269,0.928677,0.916655,0.734174,0.917393,0.888673,0.030991,0.034873,0.003556,0.004001,0.114743
