Vf,composite,P2020,P2016,S2018,S2016,G2018,AG2018
0.250,0.000027,0.000004,0.000031,0.000004,0.000041,0.002394,0.000016
0.255,0.000052,0.000008,0.000060,0.000009,0.000078,0.003908,0.000031
0.260,0.000098,0.000017,0.000113,0.000018,0.000145,0.006144,0.000060
0.265,0.000179,0.000032,0.000207,0.000034,0.000262,0.009306,0.000111
0.270,0.000318,0.000060,0.000366,0.000063,0.000460,0.013592,0.000201
0.275,0.000548,0.000109,0.000628,0.000115,0.000782,0.019163,0.000352
0.280,0.000919,0.000192,0.001048,0.000203,0.001292,0.026111,0.000598
0.285,0.001496,0.000332,0.001698,0.000350,0.002073,0.034430,0.000990
0.290,0.002368,0.000559,0.002675,0.000587,0.003231,0.044005,0.001594
0.295,0.003645,0.000916,0.004098,0.000961,0.004896,0.054618,0.002496
0.300,0.005458,0.001464,0.006108,0.001533,0.007216,0.065974,0.003804
0.305,0.007958,0.002282,0.008864,0.002385,0.010349,0.077748,0.005646
0.310,0.011301,0.003470,0.012531,0.003619,0.014457,0.089638,0.008164
0.315,0.015646,0.005150,0.017273,0.005361,0.019685,0.101412,0.011510
0.320,0.021134,0.007466,0.023236,0.007753,0.026152,0.112945,0.015831
0.325,0.027880,0.010575,0.030534,0.010954,0.033936,0.124228,0.021261
0.330,0.035957,0.014644,0.039239,0.015131,0.043066,0.135359,0.027906
0.335,0.045390,0.019840,0.049376,0.020445,0.053518,0.146503,0.035834
0.340,0.056156,0.026319,0.060918,0.027045,0.065220,0.157853,0.045068
0.345,0.068185,0.034210,0.073793,0.035051,0.078066,0.169587,0.055588
0.350,0.081374,0.043610,0.087895,0.044545,0.091927,0.181828,0.067330
0.355,0.095595,0.054571,0.103091,0.055564,0.106668,0.194625,0.080198
0.360,0.110713,0.067096,0.119238,0.068093,0.122159,0.207945,0.094081
0.365,0.126594,0.081136,0.136185,0.082064,0.138283,0.221684,0.108856
0.370,0.143109,0.096594,0.153776,0.097365,0.154932,0.235683,0.124406
0.375,0.160135,0.113326,0.171850,0.113838,0.172000,0.249748,0.140618
0.380,0.177548,0.131152,0.190232,0.131295,0.189374,0.263673,0.157387
0.385,0.195214,0.149861,0.208730,0.149523,0.206918,0.277262,0.174606
0.390,0.212981,0.169218,0.227127,0.168293,0.224471,0.290338,0.192161
0.395,0.230677,0.188974,0.245191,0.187366,0.241840,0.302755,0.209917
0.400,0.248110,0.208874,0.262675,0.206505,0.258809,0.314405,0.227722
0.405,0.265077,0.228663,0.279338,0.225477,0.275155,0.325220,0.245400
0.410,0.281376,0.248100,0.294961,0.244061,0.290661,0.335172,0.262759
0.415,0.296824,0.266963,0.309365,0.262057,0.305141,0.344271,0.279610
0.420,0.311275,0.285067,0.322429,0.279293,0.318455,0.352564,0.295775
0.425,0.324634,0.302269,0.334099,0.295637,0.330525,0.360131,0.311108
0.430,0.336865,0.318482,0.344397,0.311001,0.341338,0.367076,0.325509
0.435,0.347995,0.333677,0.353411,0.325347,0.350950,0.373525,0.338933
0.440,0.358112,0.347884,0.361292,0.338694,0.359474,0.379612,0.351395
0.445,0.367352,0.361192,0.368235,0.351110,0.367074,0.384437,0.362965
0.450,0.375891,0.373738,0.374470,0.362713,0.373945,0.389466,0.373761
0.455,0.383923,0.385694,0.380236,0.373659,0.380299,0.394756,0.383938
0.460,0.391652,0.397253,0.385776,0.384130,0.386351,0.400334,0.393669
0.465,0.399273,0.408616,0.391317,0.394324,0.392305,0.406217,0.403133
0.470,0.406963,0.419975,0.397065,0.404438,0.398346,0.412417,0.412504
0.475,0.414875,0.431500,0.403199,0.414662,0.404631,0.418941,0.421937
0.480,0.423130,0.443334,0.409867,0.425163,0.411288,0.425794,0.431560
0.485,0.431821,0.455585,0.417182,0.436084,0.418417,0.432989,0.441479
0.490,0.441010,0.468324,0.425231,0.447535,0.426089,0.440552,0.451770
0.495,0.450736,0.481587,0.434067,0.459592,0.434349,0.448523,0.462484
0.500,0.461015,0.495377,0.443720,0.472300,0.443225,0.456969,0.473651
0.505,0.471849,0.509669,0.454193,0.485672,0.452725,0.465980,0.485287
0.510,0.483228,0.524416,0.465470,0.499695,0.462851,0.475674,0.497393
0.515,0.495134,0.539553,0.477516,0.514331,0.473592,0.486191,0.509963
0.520,0.507544,0.555001,0.490279,0.529523,0.484938,0.497684,0.522984
0.525,0.520434,0.570675,0.503697,0.545197,0.496873,0.510310,0.536437
0.530,0.533776,0.586484,0.517696,0.561268,0.509383,0.524214,0.550298
0.535,0.547538,0.602335,0.532194,0.577642,0.522450,0.539509,0.564539
0.540,0.561687,0.618137,0.547103,0.594216,0.536056,0.556261,0.579120
0.545,0.576182,0.633801,0.562330,0.610887,0.550178,0.574473,0.593998
0.550,0.590976,0.649243,0.577783,0.627549,0.564789,0.594075,0.609117
0.555,0.606014,0.664387,0.593366,0.644096,0.579849,0.614916,0.624412
0.560,0.621232,0.679160,0.608984,0.660426,0.595311,0.636772,0.639807
0.565,0.636557,0.693501,0.624545,0.676441,0.611114,0.659355,0.655218
0.570,0.651907,0.707355,0.639961,0.692052,0.627183,0.682333,0.670555
0.575,0.667194,0.720679,0.655147,0.707175,0.643430,0.705354,0.685721
0.580,0.682326,0.733436,0.670027,0.721739,0.659752,0.728078,0.700622
