CD,composite,P2020,P2016,S2018,S2016,G2018,AG2018
1,0.380370,0.425832,0.377641,0.450693,0.385111,0.222291,0.410212
2,0.543633,0.606242,0.559206,0.616139,0.542481,0.350504,0.573362
3,0.554366,0.630288,0.573587,0.622302,0.546647,0.350295,0.585001
4,0.892229,0.911872,0.923269,0.928677,0.916655,0.734174,0.917393
5,0.625636,0.685506,0.626182,0.684018,0.623527,0.451404,0.661378
6,0.504799,0.550153,0.506414,0.561945,0.519877,0.342829,0.532065
7,0.789697,0.822545,0.815733,0.847308,0.807109,0.614874,0.807167
8,0.765325,0.817981,0.804903,0.816449,0.783244,0.558243,0.791424
