Vf,composite
0.250,0.000027
0.255,0.000052
0.260,0.000098
0.265,0.000179
0.270,0.000318
0.275,0.000548
0.280,0.000919
0.285,0.001496
0.290,0.002368
0.295,0.003645
0.300,0.005458
0.305,0.007958
0.310,0.011301
0.315,0.015646
0.320,0.021134
0.325,0.027880
0.330,0.035957
0.335,0.045390
0.340,0.056156
0.345,0.068185
0.350,0.081374
0.355,0.095595
0.360,0.110713
0.365,0.126594
0.370,0.143109
0.375,0.160135
0.380,0.177548
0.385,0.195214
0.390,0.212981
0.395,0.230677
0.400,0.248110
0.405,0.265077
0.410,0.281376
0.415,0.296824
0.420,0.311275
0.425,0.324634
0.430,0.336865
0.435,0.347995
0.440,0.358112
0.445,0.367352
0.450,0.375891
0.455,0.383923
0.460,0.391652
0.465,0.399273
0.470,0.406963
0.475,0.414875
0.480,0.423130
0.485,0.431821
0.490,0.441010
0.495,0.450736
0.500,0.461015
0.505,0.471849
0.510,0.483228
0.515,0.495134
0.520,0.507544
0.525,0.520434
0.530,0.533776
0.535,0.547538
0.540,0.561687
0.545,0.576182
0.550,0.590976
0.555,0.606014
0.560,0.621232
0.565,0.636557
0.570,0.651907
0.575,0.667194
0.580,0.682326
0.585,0.697209
0.590,0.711749
0.595,0.725858
0.600,0.739454
0.605,0.752463
0.610,0.764823
0.615,0.776486
0.620,0.787414
0.625,0.800965
0.630,0.814576
0.635,0.826770
0.640,0.837630
0.645,0.847319
0.650,0.856082
0.655,0.864221
0.660,0.872076
0.665,0.879980
0.670,0.888230
0.675,0.897032
0.680,0.906481
0.685,0.916532
0.690,0.927012
0.695,0.937637
0.700,0.948059
0.705,0.957918
0.710,0.966894
0.715,0.974751
0.720,0.981355
0.725,0.986685
0.730,0.990813
0.735,0.993881
0.740,0.996069
0.745,0.997565
0.750,0.998547
