METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018
Vf,0.621452,0.670291,0.640162,0.681528,0.630553,0.440085,0.648601
Sf,0.790447,0.865298,0.807710,0.880644,0.803191,0.379713,0.843858
EG,-0.047543,-0.024716,-0.027386,-0.017588,-0.042085,0.000457,-0.046656
PR,-0.168995,-0.195007,-0.167548,-0.199116,-0.172638,0.060372,-0.195257
GAMMA,0.038707,-0.164649,0.023365,-0.138404,0.070739,0.062461,-0.144422
BS_50,0.038985,0.004623,0.056280,0.027700,0.056775,0.043031,0.026349
BV_50,0.016961,0.001617,0.023622,0.010104,0.026250,0.020917,0.011037
BS_V,0.018080,0.060070,0.036722,0.055702,0.021648,-0.008047,0.042300
GS,0.019693,0.024438,0.028368,0.024934,0.025289,0.039394,0.021046
MM,0.031451,0.012394,0.040278,0.028368,0.045466,0.039131,0.025411
LO,0.120340,0.157776,0.127822,0.000000,0.128721,-0.024917,0.138407
DECL,-6.271418,-15.448045,-10.853549,0.000000,-6.609706,7.904333,-13.203639
R,2.391452,2.145140,2.195388,2.096887,2.322358,2.007631,2.313970
r,2.710155,1.178271,2.362086,1.334448,2.864195,0.965133,1.342094
Sb,0.790447,0.865298,0.807710,0.880644,0.803191,0.379713,0.843858
Ra,0.895223,0.932649,0.903855,0.940322,0.901595,0.689856,0.921929
Rb,0.395223,0.432649,0.403855,0.440322,0.401595,0.189856,0.421929
Va,0.563497,0.561291,0.573321,0.541710,0.561337,0.655719,0.562460
Vb,0.316164,0.280933,0.298856,0.277527,0.309942,0.369198,0.299134
L_Vf,0.600000,0.650000,0.620000,0.660000,0.610000,0.420000,0.625000
L_Sf,0.739454,0.849607,0.771316,0.863559,0.752727,0.352564,0.809807
U_Vf,0.645000,0.695000,0.665000,0.705000,0.655000,0.465000,0.670000
U_Sf,0.847319,0.899969,0.856279,0.925405,0.858905,0.406217,0.876823
