METRIC,P2016
Vf,0.508318
Sf,0.430776
EG,0.085860
PR,0.077542
GAMMA,0.086707
BS_50,0.086223
BV_50,0.035230
BS_V,0.086114
GS,0.035066
MM,0.045983
LO,0.051712
DECL,15.800941
R,-8.322203
r,2.101836
Sb,0.430776
Ra,0.715388
Rb,0.215388
Va,0.599536
Vb,0.348752
L_Vf,0.485000
L_Sf,0.383186
U_Vf,0.530000
U_Sf,0.484701
