Vf,P2016
0.250,0.000527
0.255,0.000927
0.260,0.001572
0.265,0.002576
0.270,0.004078
0.275,0.006241
0.280,0.009238
0.285,0.013237
0.290,0.018375
0.295,0.024732
0.300,0.032316
0.305,0.041042
0.310,0.050739
0.315,0.061164
0.320,0.072032
0.325,0.083057
0.330,0.093987
0.335,0.104640
0.340,0.114921
0.345,0.124822
0.350,0.134405
0.355,0.143779
0.360,0.153065
0.365,0.162365
0.370,0.171746
0.375,0.181225
0.380,0.190772
0.385,0.200323
0.390,0.209795
0.395,0.219111
0.400,0.228209
0.405,0.237060
0.410,0.245671
0.415,0.254085
0.420,0.262371
0.425,0.270616
0.430,0.278910
0.435,0.287338
0.440,0.295966
0.445,0.304838
0.450,0.313972
0.455,0.323363
0.460,0.332988
0.465,0.342809
0.470,0.352781
0.475,0.362860
0.480,0.373006
0.485,0.383186
0.490,0.393380
0.495,0.403577
0.500,0.413777
0.505,0.423988
0.510,0.434497
0.515,0.445967
0.520,0.458108
0.525,0.470995
0.530,0.484701
0.535,0.499286
0.540,0.514796
0.545,0.531256
0.550,0.548662
0.555,0.566981
0.560,0.586150
0.565,0.606078
0.570,0.626650
0.575,0.647736
0.580,0.669199
0.585,0.690898
0.590,0.712701
0.595,0.734481
0.600,0.756125
0.605,0.777523
0.610,0.798570
0.615,0.819156
0.620,0.839161
0.625,0.858451
0.630,0.876880
0.635,0.894288
0.640,0.910519
0.645,0.925422
0.650,0.938875
0.655,0.950792
0.660,0.961134
0.665,0.969914
0.670,0.977196
0.675,0.983092
0.680,0.987745
0.685,0.991325
0.690,0.994005
0.695,0.995959
0.700,0.997344
0.705,0.998299
0.710,0.998938
0.715,0.999355
0.720,0.999618
0.725,0.999780
0.730,0.999877
0.735,0.999933
0.740,0.999964
0.745,0.999982
0.750,0.999991
