METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2018,METRIC,G2018,METRIC,AG2018
Vf,0.544809,Vf,0.536396,Vf,0.508318,Vf,0.528398,Vf,0.624817,Vf,0.559296,Vf,0.520615
Sf,0.537302,Sf,0.502889,Sf,0.430776,Sf,0.490718,Sf,0.851333,Sf,0.623655,Sf,0.442154
EG,0.052316,EG,0.069903,EG,0.085860,EG,0.066078,EG,-0.101699,EG,-0.005063,EG,0.099076
PR,0.007507,PR,0.033507,PR,0.077542,PR,0.037680,PR,-0.226516,PR,-0.064359,PR,0.078461
GAMMA,0.093194,GAMMA,0.076233,GAMMA,0.086707,GAMMA,0.082662,GAMMA,-0.026399,GAMMA,0.089282,GAMMA,0.136878
BS_50,0.086971,BS_50,0.063253,BS_50,0.086223,BS_50,0.077157,BS_50,0.084216,BS_50,0.102091,BS_50,0.122830
BV_50,0.031785,BV_50,0.034809,BV_50,0.035230,BV_50,0.031547,BV_50,0.022177,BV_50,0.026758,BV_50,0.034837
BS_V,0.078515,BS_V,0.066332,BS_V,0.086114,BS_V,0.075809,BS_V,0.032125,BS_V,0.063611,BS_V,0.116904
GS,0.031565,GS,0.027510,GS,0.035066,GS,0.030027,GS,0.031980,GS,0.031326,GS,0.039708
MM,0.041897,MM,0.041583,MM,0.045983,MM,0.038265,MM,0.035373,MM,0.033703,MM,0.041024
LO,0.071108,LO,0.071997,LO,0.051712,LO,0.062985,LO,0.142322,LO,0.068089,LO,0.056421
DECL,11.075515,DECL,13.014782,DECL,15.800941,DECL,12.827732,DECL,18.250777,DECL,5.442224,DECL,15.677301
R,0.832472,R,0.079373,R,-8.322203,R,-0.326853,R,2.814786,R,2.085381,R,-2.806028
r,2.912282,r,2.173916,r,2.101836,r,2.583978,r,2.603286,r,3.591085,r,3.833718
Sb,0.537302,Sb,0.502889,Sb,0.430776,Sb,0.490718,Sb,0.851333,Sb,0.623655,Sb,0.442154
Ra,0.768651,Ra,0.751444,Ra,0.715388,Ra,0.745359,Ra,0.925667,Ra,0.811827,Ra,0.721077
Rb,0.268651,Rb,0.251444,Rb,0.215388,Rb,0.245359,Rb,0.425667,Rb,0.311827,Rb,0.221077
Va,0.566663,Va,0.587013,Va,0.599536,Va,0.578783,Va,0.500364,Va,0.553406,Va,0.571633
Vb,0.362229,Vb,0.340991,Vb,0.348752,Vb,0.358232,Vb,0.357314,Vb,0.378505,Vb,0.371945
L_Vf,0.520000,L_Vf,0.515000,L_Vf,0.485000,L_Vf,0.505000,L_Vf,0.600000,L_Vf,0.535000,L_Vf,0.500000
L_Sf,0.467023,L_Sf,0.464341,L_Sf,0.383186,L_Sf,0.434617,L_Sf,0.783094,L_Sf,0.532769,L_Sf,0.377170
U_Vf,0.565000,U_Vf,0.560000,U_Vf,0.530000,U_Vf,0.550000,U_Vf,0.645000,U_Vf,0.580000,U_Vf,0.545000
U_Sf,0.615036,U_Sf,0.568475,U_Sf,0.484701,U_Sf,0.560919,U_Sf,0.923614,U_Sf,0.704495,U_Sf,0.544589
