METRIC,AG2018
Vf,0.520615
Sf,0.442154
EG,0.099076
PR,0.078461
GAMMA,0.136878
BS_50,0.122830
BV_50,0.034837
BS_V,0.116904
GS,0.039708
MM,0.041024
LO,0.056421
DECL,15.677301
R,-2.806028
r,3.833718
Sb,0.442154
Ra,0.721077
Rb,0.221077
Va,0.571633
Vb,0.371945
L_Vf,0.500000
L_Sf,0.377170
U_Vf,0.545000
U_Sf,0.544589
