METRIC,S2018
Vf,0.624817
Sf,0.851333
EG,-0.101699
PR,-0.226516
GAMMA,-0.026399
BS_50,0.084216
BV_50,0.022177
BS_V,0.032125
GS,0.031980
MM,0.035373
LO,0.142322
DECL,18.250777
R,2.814786
r,2.603286
Sb,0.851333
Ra,0.925667
Rb,0.425667
Va,0.500364
Vb,0.357314
L_Vf,0.600000
L_Sf,0.783094
U_Vf,0.645000
U_Sf,0.923614
