Vf,composite,P2020,P2016,S2020,S2018,G2018,AG2018
0.250,0.000097,0.000218,0.000527,0.000169,0.000004,0.000041,0.000168
0.255,0.000181,0.000397,0.000927,0.000309,0.000007,0.000079,0.000308
0.260,0.000327,0.000699,0.001572,0.000549,0.000015,0.000147,0.000548
0.265,0.000574,0.001189,0.002576,0.000944,0.000028,0.000265,0.000941
0.270,0.000974,0.001956,0.004078,0.001570,0.000052,0.000463,0.001564
0.275,0.001603,0.003116,0.006241,0.002528,0.000095,0.000786,0.002518
0.280,0.002558,0.004807,0.009238,0.003943,0.000168,0.001294,0.003926
0.285,0.003957,0.007185,0.013237,0.005960,0.000290,0.002068,0.005930
0.290,0.005939,0.010409,0.018375,0.008735,0.000487,0.003208,0.008685
0.295,0.008652,0.014629,0.024732,0.012420,0.000796,0.004836,0.012338
0.300,0.012241,0.019959,0.032316,0.017146,0.001269,0.007083,0.017015
0.305,0.016833,0.026464,0.041042,0.023000,0.001973,0.010089,0.022795
0.310,0.022514,0.034133,0.050739,0.030011,0.002989,0.013980,0.029694
0.315,0.029315,0.042880,0.061164,0.038131,0.004416,0.018861,0.037651
0.320,0.037201,0.052543,0.072032,0.047236,0.006367,0.024791,0.046526
0.325,0.046064,0.062901,0.083057,0.057138,0.008959,0.031778,0.056107
0.330,0.055731,0.073703,0.093987,0.067599,0.012312,0.039762,0.066137
0.335,0.065986,0.084700,0.104640,0.078367,0.016533,0.048624,0.076340
0.340,0.076591,0.095676,0.114921,0.089206,0.021708,0.058187,0.086456
0.345,0.087316,0.106480,0.124822,0.099924,0.027888,0.068240,0.096278
0.350,0.097972,0.117034,0.134405,0.110398,0.035086,0.078561,0.105673
0.355,0.108425,0.127338,0.143779,0.120576,0.043267,0.088942,0.114589
0.360,0.118608,0.137456,0.153065,0.130478,0.052353,0.099211,0.123060
0.365,0.128521,0.147489,0.162365,0.140175,0.062227,0.109254,0.131179
0.370,0.138214,0.157557,0.171746,0.149765,0.072745,0.119016,0.139083
0.375,0.147769,0.167764,0.181225,0.159350,0.083751,0.128500,0.146917
0.380,0.157277,0.178189,0.190772,0.169014,0.095092,0.137755,0.154811
0.385,0.166816,0.188869,0.200323,0.178807,0.106634,0.146856,0.162857
