Vf,S2020
0.250,0.000169
0.255,0.000309
0.260,0.000549
0.265,0.000944
0.270,0.001570
0.275,0.002528
0.280,0.003943
0.285,0.005960
0.290,0.008735
0.295,0.012420
0.300,0.017146
0.305,0.023000
0.310,0.030011
0.315,0.038131
0.320,0.047236
0.325,0.057138
0.330,0.067599
0.335,0.078367
0.340,0.089206
0.345,0.099924
0.350,0.110398
0.355,0.120576
0.360,0.130478
0.365,0.140175
0.370,0.149765
0.375,0.159350
0.380,0.169014
0.385,0.178807
0.390,0.188744
0.395,0.198806
0.400,0.208950
0.405,0.219125
0.410,0.229281
0.415,0.239387
0.420,0.249430
0.425,0.259423
0.430,0.269398
0.435,0.279401
0.440,0.289483
0.445,0.299694
0.450,0.310072
0.455,0.320644
0.460,0.331420
0.465,0.342393
0.470,0.353548
0.475,0.364858
0.480,0.376296
0.485,0.387833
0.490,0.399446
0.495,0.411119
0.500,0.422843
0.505,0.434617
0.510,0.446449
0.515,0.458350
0.520,0.470337
0.525,0.482430
0.530,0.495350
0.535,0.510381
0.540,0.526312
0.545,0.543161
0.550,0.560919
0.555,0.579547
0.560,0.598979
0.565,0.619121
0.570,0.639857
0.575,0.661056
0.580,0.682579
0.585,0.704284
0.590,0.726035
0.595,0.747702
0.600,0.769164
0.605,0.790304
0.610,0.811010
0.615,0.831163
0.620,0.850639
0.625,0.869300
0.630,0.887003
0.635,0.903599
0.640,0.918946
0.645,0.932916
0.650,0.945414
0.655,0.956382
0.660,0.965809
0.665,0.973736
0.670,0.980248
0.675,0.985468
0.680,0.989550
0.685,0.992659
0.690,0.994966
0.695,0.996632
0.700,0.997803
0.705,0.998603
0.710,0.999134
0.715,0.999478
0.720,0.999693
0.725,0.999824
0.730,0.999902
0.735,0.999947
0.740,0.999972
0.745,0.999986
0.750,0.999993
