METRIC,G2018
Vf,0.559296
Sf,0.623655
EG,-0.005063
PR,-0.064359
GAMMA,0.089282
BS_50,0.102091
BV_50,0.026758
BS_V,0.063611
GS,0.031326
MM,0.033703
LO,0.068089
DECL,5.442224
R,2.085381
r,3.591085
Sb,0.623655
Ra,0.811827
Rb,0.311827
Va,0.553406
Vb,0.378505
L_Vf,0.535000
L_Sf,0.532769
U_Vf,0.580000
U_Sf,0.704495
