Vf,S2016
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000001
0.275,0.000002
0.280,0.000004
0.285,0.000007
0.290,0.000014
0.295,0.000025
0.300,0.000044
0.305,0.000078
0.310,0.000133
0.315,0.000224
0.320,0.000368
0.325,0.000594
0.330,0.000938
0.335,0.001453
0.340,0.002208
0.345,0.003082
0.350,0.004139
0.355,0.005500
0.360,0.007232
0.365,0.009411
0.370,0.012122
0.375,0.015459
0.380,0.019521
0.385,0.024412
0.390,0.030239
0.395,0.037111
0.400,0.045131
0.405,0.054398
0.410,0.065002
0.415,0.077020
0.420,0.090514
0.425,0.105529
0.430,0.122091
0.435,0.140207
0.440,0.159864
0.445,0.181028
0.450,0.203652
0.455,0.227669
0.460,0.253001
0.465,0.279562
0.470,0.307257
0.475,0.335985
0.480,0.365644
0.485,0.396128
0.490,0.427329
0.495,0.459135
0.500,0.491427
0.505,0.524076
0.510,0.556943
0.515,0.589869
0.520,0.622681
0.525,0.655183
0.530,0.687163
0.535,0.718393
0.540,0.748634
0.545,0.777648
0.550,0.805202
0.555,0.831082
0.560,0.855104
0.565,0.877120
0.570,0.897031
0.575,0.914787
0.580,0.930391
0.585,0.943899
0.590,0.955410
0.595,0.965063
0.600,0.973026
0.605,0.979486
0.610,0.984637
0.615,0.988674
0.620,0.991782
0.625,0.994133
0.630,0.995880
0.635,0.997155
0.640,0.998068
0.645,0.998710
0.650,0.999154
0.655,0.999454
0.660,0.999654
0.665,0.999785
0.670,0.999868
0.675,0.999921
0.680,0.999953
0.685,0.999973
0.690,0.999985
0.695,0.999991
0.700,0.999995
0.705,0.999997
0.710,0.999999
0.715,0.999999
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
