METRIC,AG2018
Vf,0.410418
Sf,0.115513
EG,0.205323
PR,0.294905
GAMMA,0.170794
BS_50,0.067479
BV_50,0.010592
BS_V,-0.031840
GS,0.015732
MM,0.019504
LO,0.000000
DECL,0.000000
R,4.292015
r,2.385449
Sb,0.115513
Ra,0.557756
Rb,0.057756
Va,0.606476
Vb,0.500000
L_Vf,0.390000
L_Sf,0.058369
U_Vf,0.435000
U_Sf,0.175878
