METRIC,composite
Vf,0.418609
Sf,0.133256
EG,0.203962
PR,0.285353
GAMMA,0.110888
BS_50,0.051066
BV_50,0.008436
BS_V,-0.025683
GS,0.012215
MM,0.014285
LO,0.000000
DECL,0.000000
R,4.505950
r,3.143537
Sb,0.133256
Ra,0.566628
Rb,0.066628
Va,0.598850
Vb,0.500000
L_Vf,0.395000
L_Sf,0.062473
U_Vf,0.440000
U_Sf,0.193030
