METRIC,S2016
Vf,0.341463
Sf,0.002486
EG,0.180440
PR,0.338977
GAMMA,0.469789
BS_50,0.008573
BV_50,0.001313
BS_V,-0.001030
GS,0.003833
MM,-0.000010
LO,0.000000
DECL,0.000000
R,3.138160
r,0.174886
Sb,0.002486
Ra,0.501243
Rb,0.001243
Va,0.661458
Vb,0.500000
L_Vf,0.320000
L_Sf,0.000368
U_Vf,0.365000
U_Sf,0.009411
