METRIC,P2016
Vf,0.388888
Sf,0.059849
EG,0.217927
PR,0.329039
GAMMA,0.196606
BS_50,0.039823
BV_50,0.006529
BS_V,-0.021575
GS,0.011722
MM,0.012803
LO,0.000000
DECL,0.000000
R,3.961330
r,2.191891
Sb,0.059849
Ra,0.529924
Rb,0.029924
Va,0.620067
Vb,0.500000
L_Vf,0.365000
L_Sf,0.018588
U_Vf,0.410000
U_Sf,0.104140
