Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2018
0.655,0.999265,0.999078,0.999395,0.999184,0.999454,0.999599,0.999418
0.660,0.999532,0.999410,0.999617,0.999479,0.999654,0.999750,0.999633
0.665,0.999707,0.999629,0.999762,0.999673,0.999785,0.999847,0.999772
0.670,0.999820,0.999771,0.999854,0.999799,0.999868,0.999908,0.999861
0.675,0.999891,0.999861,0.999913,0.999878,0.999921,0.999945,0.999917
0.680,0.999936,0.999917,0.999948,0.999928,0.999953,0.999968,0.999951
0.685,0.999962,0.999952,0.999970,0.999958,0.999973,0.999982,0.999972
0.690,0.999979,0.999972,0.999983,0.999976,0.999985,0.999990,0.999984
0.695,0.999988,0.999984,0.999991,0.999986,0.999991,0.999994,0.999991
0.700,0.999993,0.999991,0.999995,0.999992,0.999995,0.999997,0.999995
0.705,0.999996,0.999995,0.999997,0.999996,0.999997,0.999998,0.999997
0.710,0.999998,0.999998,0.999999,0.999998,0.999999,0.999999,0.999999
0.715,0.999999,0.999999,0.999999,0.999999,0.999999,1.000000,0.999999
0.720,0.999999,0.999999,1.000000,0.999999,1.000000,1.000000,1.000000
0.725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.730,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.735,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.740,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.745,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.750,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
