METRIC,G2018
Vf,0.527866
Sf,0.650486
EG,-0.094754
PR,-0.122620
GAMMA,0.037033
BS_50,0.037575
BV_50,0.005476
BS_V,0.035027
GS,0.009006
MM,0.011253
LO,0.035527
DECL,0.000000
R,5.400349
r,6.729304
Sb,0.650486
Ra,0.825243
Rb,0.325243
Va,0.503240
Vb,0.461233
L_Vf,0.505000
L_Sf,0.496739
U_Vf,0.550000
U_Sf,0.797234
