Vf,composite
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000001
0.270,0.000001
0.275,0.000002
0.280,0.000005
0.285,0.000009
0.290,0.000016
0.295,0.000029
0.300,0.000051
0.305,0.000090
0.310,0.000153
0.315,0.000255
0.320,0.000418
0.325,0.000670
0.330,0.001051
0.335,0.001617
0.340,0.002438
0.345,0.003602
0.350,0.005218
0.355,0.007410
0.360,0.010321
0.365,0.014102
0.370,0.018906
0.375,0.024881
0.380,0.032153
0.385,0.040817
0.390,0.050923
0.395,0.062473
0.400,0.075407
0.405,0.089610
0.410,0.104918
0.415,0.121125
0.420,0.136843
0.425,0.150072
0.430,0.163830
0.435,0.178136
0.440,0.193030
0.445,0.208572
0.450,0.224840
0.455,0.241929
0.460,0.259947
0.465,0.279006
0.470,0.299216
0.475,0.320683
0.480,0.343491
0.485,0.367705
0.490,0.393359
0.495,0.420450
0.500,0.448934
0.505,0.478723
0.510,0.509683
0.515,0.541630
0.520,0.574340
0.525,0.607544
0.530,0.640938
0.535,0.674193
0.540,0.706960
0.545,0.738888
0.550,0.769633
0.555,0.798873
0.560,0.826325
0.565,0.851750
0.570,0.874969
0.575,0.895867
0.580,0.914396
0.585,0.930570
0.590,0.944467
0.595,0.956214
0.600,0.965981
0.605,0.973965
0.610,0.980380
0.615,0.985445
0.620,0.989374
0.625,0.992368
0.630,0.994608
0.635,0.996254
0.640,0.997441
0.645,0.998282
0.650,0.998866
0.655,0.999265
0.660,0.999532
0.665,0.999707
0.670,0.999820
0.675,0.999891
0.680,0.999936
0.685,0.999962
0.690,0.999979
0.695,0.999988
0.700,0.999993
0.705,0.999996
0.710,0.999998
0.715,0.999999
0.720,0.999999
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
