CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2016,CD,G2018,CD,AG2018
1,0.346120,1,0.348760,1,0.318002,1,0.367774,1,0.265671,1,0.483657,1,0.343144
2,0.422167,2,0.416512,2,0.398660,2,0.438651,2,0.366511,2,0.537267,2,0.403102
3,0.500487,3,0.522735,3,0.470921,3,0.524874,3,0.406205,3,0.579456,3,0.495285
4,0.386482,4,0.388691,4,0.353509,4,0.407400,4,0.316435,4,0.495959,4,0.378725
