METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018
Vf,0.418609,0.425066,0.388888,0.439811,0.341463,0.527866,0.410418
Sf,0.133256,0.184080,0.059849,0.201577,0.002486,0.650486,0.115513
EG,0.203962,0.166052,0.217927,0.178045,0.180440,-0.094754,0.205323
PR,0.285353,0.240986,0.329039,0.238234,0.338977,-0.122620,0.294905
GAMMA,0.110888,0.157452,0.196606,0.095224,0.469789,0.037033,0.170794
BS_50,0.051066,0.081889,0.039823,0.062603,0.008573,0.037575,0.067479
BV_50,0.008436,0.013966,0.006529,0.010507,0.001313,0.005476,0.010592
BS_V,-0.025683,-0.032026,-0.021575,-0.009920,-0.001030,0.035027,-0.031840
GS,0.012215,0.019639,0.011722,0.013250,0.003833,0.009006,0.015732
MM,0.014285,0.022464,0.012803,0.016786,-0.000010,0.011253,0.019504
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.035527,0.000000
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,4.505950,4.215983,3.961330,4.958095,3.138160,5.400349,4.292015
r,3.143537,2.114771,2.191891,3.376010,0.174886,6.729304,2.385449
Sb,0.133256,0.184080,0.059849,0.201577,0.002486,0.650486,0.115513
Ra,0.566628,0.592040,0.529924,0.600789,0.501243,0.825243,0.557756
Rb,0.066628,0.092040,0.029924,0.100789,0.001243,0.325243,0.057756
Va,0.598850,0.603475,0.620067,0.586007,0.661458,0.503240,0.606476
Vb,0.500000,0.480434,0.500000,0.483409,0.500000,0.461233,0.500000
L_Vf,0.395000,0.405000,0.365000,0.415000,0.320000,0.505000,0.390000
L_Sf,0.062473,0.121552,0.018588,0.117639,0.000368,0.496739,0.058369
U_Vf,0.440000,0.450000,0.410000,0.460000,0.365000,0.550000,0.435000
U_Sf,0.193030,0.238044,0.104140,0.261418,0.009411,0.797234,0.175878
