Vf,composite,P2020,P2016,S2020,S2016,G2020,AG2020
0.250,0.000004,0.000005,0.000008,0.000004,0.000005,0.000002,0.000003
0.255,0.000007,0.000010,0.000017,0.000007,0.000010,0.000004,0.000006
0.260,0.000015,0.000019,0.000032,0.000014,0.000020,0.000008,0.000011
0.265,0.000028,0.000036,0.000061,0.000027,0.000038,0.000015,0.000022
0.270,0.000052,0.000067,0.000110,0.000051,0.000070,0.000029,0.000041
0.275,0.000095,0.000122,0.000195,0.000093,0.000125,0.000054,0.000076
0.280,0.000168,0.000217,0.000336,0.000165,0.000218,0.000097,0.000135
0.285,0.000291,0.000374,0.000564,0.000285,0.000371,0.000172,0.000236
0.290,0.000490,0.000630,0.000921,0.000480,0.000613,0.000296,0.000401
0.295,0.000804,0.001032,0.001463,0.000788,0.000988,0.000497,0.000665
0.300,0.001287,0.001648,0.002266,0.001262,0.001552,0.000815,0.001075
0.305,0.002010,0.002568,0.003422,0.001970,0.002375,0.001304,0.001695
0.310,0.003063,0.003902,0.005039,0.003003,0.003546,0.002037,0.002610
0.315,0.004557,0.005786,0.007243,0.004467,0.005168,0.003106,0.003924
0.320,0.006620,0.008376,0.010167,0.006489,0.007353,0.004627,0.005760
0.325,0.009397,0.011842,0.013948,0.009211,0.010224,0.006734,0.008262
0.330,0.013041,0.016360,0.018717,0.012783,0.013902,0.009582,0.011585
0.335,0.017704,0.022096,0.024587,0.017354,0.018499,0.013334,0.015888
0.340,0.023526,0.029194,0.031647,0.023060,0.024112,0.018154,0.021323
0.345,0.030622,0.037759,0.039953,0.030015,0.030812,0.024197,0.028021
0.350,0.039071,0.047839,0.049523,0.038297,0.038643,0.031591,0.036082
0.355,0.048904,0.059423,0.060332,0.047940,0.047614,0.040426,0.045559
0.360,0.060104,0.072428,0.072322,0.058927,0.057705,0.050741,0.056452
0.365,0.072598,0.086706,0.085401,0.071190,0.068866,0.062515,0.068704
0.370,0.086266,0.102057,0.099450,0.084617,0.081026,0.075670,0.082205
0.375,0.100951,0.118241,0.114339,0.099059,0.094100,0.090066,0.096799
0.380,0.116470,0.135001,0.129932,0.114341,0.107995,0.105523,0.112294
0.385,0.132632,0.152090,0.146094,0.130282,0.122620,0.121825,0.128488
0.390,0.149253,0.169285,0.162702,0.146708,0.137884,0.138747,0.145179
0.395,0.166171,0.186404,0.179645,0.163461,0.153705,0.156072,0.162184
0.400,0.183253,0.203320,0.196827,0.180412,0.170006,0.173606,0.179353
0.405,0.200400,0.219956,0.214167,0.197466,0.186714,0.191194,0.196577
0.410,0.217550,0.236285,0.231595,0.214557,0.203758,0.208723,0.213786
0.415,0.234666,0.252316,0.249046,0.231644,0.221066,0.226127,0.230947
0.420,0.251734,0.268080,0.266454,0.248708,0.238565,0.243377,0.248052
0.425,0.268746,0.283619,0.283755,0.265735,0.256178,0.260471,0.265110
0.430,0.285697,0.298973,0.300877,0.282712,0.273825,0.277428,0.282131
0.435,0.302571,0.314168,0.317741,0.299620,0.291428,0.294268,0.299117
0.440,0.319340,0.329215,0.334269,0.316428,0.308909,0.311011,0.316052
0.445,0.335962,0.344106,0.350380,0.333093,0.326199,0.327662,0.332905
0.450,0.352382,0.358819,0.366005,0.349561,0.343240,0.344212,0.349623
0.455,0.368542,0.373322,0.381085,0.365775,0.359985,0.360640,0.366144
0.460,0.384381,0.387579,0.395584,0.381679,0.376406,0.376915,0.382397
0.465,0.399848,0.401555,0.409489,0.397227,0.392491,0.392998,0.398315
0.470,0.414909,0.415226,0.422812,0.412385,0.408246,0.408855,0.413844
0.475,0.429544,0.428575,0.435592,0.427139,0.422428,0.424455,0.428945
0.480,0.443758,0.441604,0.447888,0.441493,0.436822,0.439778,0.443601
0.485,0.457574,0.454324,0.459230,0.455472,0.451607,0.454816,0.457818
0.490,0.471033,0.466762,0.470696,0.469117,0.466799,0.469575,0.471622
