Vf,P2020
0.250,0.000001
0.255,0.000001
0.260,0.000002
0.265,0.000005
0.270,0.000009
0.275,0.000017
0.280,0.000031
0.285,0.000055
0.290,0.000097
0.295,0.000167
0.300,0.000279
0.305,0.000457
0.310,0.000729
0.315,0.001136
0.320,0.001730
0.325,0.002574
0.330,0.003745
0.335,0.005328
0.340,0.007415
0.345,0.010101
0.350,0.013472
0.355,0.017606
0.360,0.022555
0.365,0.028349
0.370,0.034983
0.375,0.042424
0.380,0.050608
0.385,0.059451
0.390,0.068855
0.395,0.078722
0.400,0.088967
0.405,0.099524
0.410,0.110359
0.415,0.121471
0.420,0.132893
0.425,0.144691
0.430,0.156960
0.435,0.169815
0.440,0.183386
0.445,0.197811
0.450,0.213230
0.455,0.229782
0.460,0.247597
0.465,0.266792
0.470,0.287465
0.475,0.309689
0.480,0.333509
0.485,0.358930
0.490,0.385915
0.495,0.414379
0.500,0.444190
0.505,0.475164
0.510,0.507075
0.515,0.539656
0.520,0.572611
0.525,0.605624
0.530,0.638370
0.535,0.670532
0.540,0.701807
0.545,0.731917
0.550,0.760621
0.555,0.787719
0.560,0.813054
0.565,0.836516
0.570,0.858042
0.575,0.877610
0.580,0.895237
0.585,0.910974
0.590,0.924899
0.595,0.937115
0.600,0.947737
0.605,0.956895
0.610,0.964721
0.615,0.971353
0.620,0.976923
0.625,0.981561
0.630,0.985388
0.635,0.988519
0.640,0.991056
0.645,0.993093
0.650,0.994714
0.655,0.995991
0.660,0.996988
0.665,0.997758
0.670,0.998347
0.675,0.998897
0.680,0.999297
0.685,0.999562
0.690,0.999732
0.695,0.999840
0.700,0.999906
0.705,0.999946
0.710,0.999970
0.715,0.999984
0.720,0.999991
0.725,0.999995
0.730,0.999998
0.735,0.999999
0.740,0.999999
0.745,1.000000
0.750,1.000000
